nThread;timeInt;user;real;sys;pCPU
32;0.017052;0.051;0.021;0.008;287.15
32;0.016191;0.023;0.020;0.035;289.61
32;0.015578;0.028;0.019;0.031;301.23
32;0.015317;0.048;0.019;0.009;300.97
32;0.015523;0.049;0.019;0.010;305.38
32;0.015313;0.018;0.019;0.039;300.22
32;0.015599;0.033;0.019;0.027;306.86
32;0.016497;0.039;0.020;0.019;288.49
32;0.015604;0.052;0.019;0.006;304.00
32;0.015493;0.044;0.019;0.013;300.54
32;0.016276;0.035;0.020;0.025;296.67
32;0.015824;0.044;0.020;0.015;302.34
32;0.015678;0.026;0.019;0.031;292.48
32;0.016310;0.032;0.020;0.027;297.63
32;0.015897;0.035;0.020;0.022;293.02
32;0.015098;0.047;0.019;0.012;309.08
32;0.015022;0.027;0.019;0.031;307.74
32;0.015265;0.025;0.019;0.034;308.70
32;0.015616;0.038;0.019;0.020;298.77
32;0.015704;0.039;0.019;0.019;298.52
32;0.016194;0.048;0.020;0.009;285.94
32;0.015531;0.049;0.019;0.008;296.91
32;0.015949;0.028;0.020;0.032;297.11
32;0.015454;0.052;0.019;0.006;303.62
32;0.015834;0.053;0.020;0.007;304.78
32;0.015899;0.030;0.020;0.029;301.13
32;0.015818;0.042;0.020;0.016;299.35
32;0.015719;0.030;0.019;0.029;305.77
32;0.016117;0.043;0.020;0.016;294.81
32;0.015462;0.034;0.019;0.024;303.42
32;0.015349;0.033;0.019;0.024;299.92
32;0.016344;0.030;0.020;0.029;293.49
32;0.015109;0.055;0.019;0.003;306.56
32;0.015898;0.025;0.020;0.033;286.65
32;0.015932;0.044;0.020;0.016;301.06
32;0.015981;0.038;0.020;0.019;289.22
32;0.016311;0.024;0.020;0.034;289.58
32;0.015943;0.040;0.020;0.018;296.54
32;0.016314;0.032;0.020;0.028;295.67
32;0.016134;0.048;0.020;0.009;283.35
32;0.015374;0.027;0.019;0.032;306.37
32;0.015960;0.029;0.020;0.029;294.27
32;0.015961;0.052;0.020;0.006;292.90
32;0.015925;0.037;0.020;0.022;298.42
32;0.015453;0.033;0.019;0.024;297.02
32;0.015212;0.040;0.019;0.017;301.36
32;0.015750;0.039;0.019;0.019;302.10
32;0.015389;0.031;0.018;0.022;282.23
32;0.007899;0.018;0.010;0.012;300.45
32;0.007869;0.026;0.010;0.003;290.63
32;0.007955;0.015;0.010;0.015;296.80
32;0.008156;0.029;0.010;0.000;288.53
32;0.008165;0.013;0.010;0.016;284.51
32;0.008116;0.003;0.010;0.026;293.11
32;0.008407;0.018;0.010;0.012;285.75
32;0.007908;0.025;0.010;0.005;297.36
32;0.008966;0.029;0.011;0.000;263.96
32;0.007786;0.030;0.010;0.000;301.53
32;0.008416;0.017;0.010;0.011;276.37
32;0.007766;0.016;0.010;0.012;292.74
32;0.008281;0.030;0.010;0.000;290.15
32;0.008409;0.024;0.010;0.005;282.54
32;0.007881;0.027;0.010;0.003;303.21
32;0.008376;0.025;0.010;0.004;282.04
32;0.007945;0.023;0.010;0.006;293.14
32;0.007847;0.023;0.010;0.006;295.87
32;0.008153;0.010;0.010;0.019;286.07
32;0.007798;0.029;0.010;0.000;299.13
32;0.007780;0.018;0.010;0.010;289.32
32;0.007826;0.025;0.010;0.004;292.67
32;0.008634;0.030;0.011;0.000;280.22
32;0.007803;0.016;0.010;0.013;295.14
32;0.007946;0.015;0.010;0.015;295.39
32;0.008036;0.022;0.010;0.006;285.48
32;0.007824;0.029;0.010;0.000;298.33
32;0.008233;0.023;0.010;0.006;285.58
32;0.007920;0.015;0.010;0.014;289.55
32;0.008113;0.029;0.010;0.000;292.03
32;0.007958;0.016;0.010;0.013;289.31
32;0.008993;0.027;0.011;0.003;270.61
32;0.007910;0.022;0.010;0.007;300.61
32;0.008037;0.003;0.010;0.025;288.66
32;0.008411;0.029;0.010;0.000;282.68
32;0.008183;0.022;0.010;0.007;285.28
32;0.008448;0.016;0.011;0.013;273.63
32;0.008191;0.029;0.010;0.000;286.03
32;0.008969;0.015;0.011;0.015;269.78
32;0.007752;0.029;0.010;0.000;299.85
32;0.008105;0.016;0.010;0.013;285.42
32;0.008141;0.016;0.010;0.013;286.32
32;0.008426;0.020;0.010;0.010;289.01
32;0.007775;0.010;0.010;0.019;294.63
32;0.008406;0.018;0.011;0.012;282.98
32;0.008605;0.017;0.011;0.012;270.34
32;0.008081;0.007;0.010;0.023;292.24
32;0.008259;0.027;0.010;0.003;293.41
32;0.007912;0.019;0.010;0.011;293.75
32;0.007896;0.029;0.010;0.000;290.39
32;0.007953;0.019;0.010;0.010;293.06
32;0.008109;0.019;0.010;0.010;290.19
32;0.008368;0.015;0.010;0.014;278.88
32;0.007976;0.007;0.010;0.022;286.24
32;0.008196;0.023;0.010;0.006;281.48
32;0.008258;0.007;0.010;0.023;286.38
32;0.007904;0.025;0.010;0.004;292.70
32;0.008014;0.021;0.010;0.008;295.41
32;0.007952;0.010;0.010;0.019;289.66
32;0.008360;0.029;0.010;0.000;283.28
32;0.007664;0.009;0.010;0.020;297.92
32;0.008431;0.029;0.010;0.000;279.62
32;0.007882;0.025;0.010;0.004;297.35
32;0.007843;0.029;0.010;0.000;293.54
32;0.008095;0.007;0.010;0.023;291.43
32;0.007783;0.014;0.010;0.014;293.32
32;0.008007;0.019;0.010;0.010;287.27
32;0.008185;0.016;0.010;0.013;286.42
32;0.008752;0.027;0.011;0.003;271.32
32;0.007870;0.025;0.010;0.004;296.11
32;0.007729;0.028;0.010;0.000;290.29
32;0.008142;0.015;0.010;0.014;287.40
32;0.007947;0.023;0.010;0.006;285.57
32;0.007993;0.010;0.010;0.019;286.79
32;0.007977;0.023;0.010;0.006;290.94
32;0.008722;0.020;0.011;0.010;274.14
32;0.008070;0.026;0.010;0.004;290.07
32;0.007988;0.027;0.010;0.003;299.86
32;0.007767;0.007;0.010;0.022;295.35
32;0.008295;0.006;0.010;0.023;286.22
32;0.007970;0.026;0.010;0.004;283.91
32;0.008034;0.013;0.010;0.016;292.01
32;0.008297;0.017;0.010;0.013;287.58
